INFO | 2023-08-30 21:28:20,174 | 'Logger Loaded' | load_logger() @ line 21 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
INFO | 2023-08-30 21:28:20,175 | 'Loaded Data : ({'Ns': [1000, 10000], 'NBs': [64, 256], 'Ps': [1, 128], 'Qs': [1, 128]}, {'BLAS Modules': ['openblas'], 'MPI Modules': ['openmpi'], 'Compilers': ['gcc']}, {'Max Runtime In Hours': [3.0], 'Number Of Nodes': [1], 'Cores Per Node Input': [128], 'Memory Per Node GB': [12]})' | <module>() @ line 127 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:28:20,177 | 'num nodes1. cores per node 128.  Ps117' | objective() @ line 96 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:28:20,177 | '{'Ns': 3104, 'NBs': 73, 'Ps': 117, 'Qs': 1}' | objective() @ line 101 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:28:20,177 | ' val -> 1' | objective() @ line 102 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:29:10,679 | 'SLURM script executed successfully.' | run_hpl_benchmark() @ line 68 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:29:10,682 | 'num nodes1. cores per node 128.  Ps2' | objective() @ line 96 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:29:10,682 | '{'Ns': 4284, 'NBs': 165, 'Ps': 2, 'Qs': 64}' | objective() @ line 101 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:29:10,682 | ' val -> 64' | objective() @ line 102 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:29:24,948 | 'SLURM script executed successfully.' | run_hpl_benchmark() @ line 68 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:29:24,950 | 'num nodes1. cores per node 128.  Ps78' | objective() @ line 96 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:29:24,950 | '{'Ns': 9610, 'NBs': 176, 'Ps': 78, 'Qs': 1}' | objective() @ line 101 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:29:24,950 | ' val -> 1' | objective() @ line 102 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:30:40,967 | 'SLURM script executed successfully.' | run_hpl_benchmark() @ line 68 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:30:40,969 | 'num nodes1. cores per node 128.  Ps106' | objective() @ line 96 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:30:40,969 | '{'Ns': 8872, 'NBs': 148, 'Ps': 106, 'Qs': 1}' | objective() @ line 101 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:30:40,969 | ' val -> 1' | objective() @ line 102 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:32:16,301 | 'SLURM script executed successfully.' | run_hpl_benchmark() @ line 68 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:32:16,303 | 'num nodes1. cores per node 128.  Ps10' | objective() @ line 96 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:32:16,303 | '{'Ns': 4677, 'NBs': 97, 'Ps': 10, 'Qs': 12}' | objective() @ line 101 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:32:16,303 | ' val -> 12' | objective() @ line 102 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:33:09,729 | 'SLURM script executed successfully.' | run_hpl_benchmark() @ line 68 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:33:09,731 | 'num nodes1. cores per node 128.  Ps10' | objective() @ line 96 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
